Name,Link,Descr,Gender,Species/Race,Blood,School,Profession
Mrs. Abbott,https://www.hp-lexicon.org/character/abbott-family/mrs-abbott/,"Mrs. Abbott was the mother of Hannah Abbott, a Hufflepuff in Harry’s year. Mrs. Abbott was found dead in the fall of 1996, having been murdered by Death Eaters (HBP11). ",Female,witch,Muggle-born,Unknown,Unknown
Hannah Abbott,https://www.hp-lexicon.org/character/abbott-family/hannah-abbott/,"Hannah Abbott is a Hufflepuff student in Harry’s year at Hogwarts. A pink-faced blonde girl who wears her hair in pigtails (PS7), Hannah is a close friend of Ernie Macmillan (CS11, CS15), who shares her hobby of collecting chocolate frog cards (GF19). Both Hannah and… ",Female,witch,Half-blood,Hogwarts - Hufflepuff,Landlady of the Leaky Cauldron
Abel Treetops,https://www.hp-lexicon.org/character/abel-treetops/,"Abel Treetops was a wizard from Cincinnati who said in 1832 that he had a patented approach for taming Wampus Cats so that they might be used as guards for wizarding homes. In actuality, Treetops was placing Engorgement Charms on Kneazles, which are tame and naturally hostile to suspicious and… ",Male,wizard,Unknown,Unknown,Unknown
Euan Abercrombie,https://www.hp-lexicon.org/character/abercrombie-euan/,Euan Abercrombie was a small boy with prominent ears; it’s implied that at the beginning of his first year that he believed the Daily Prophet‘s smear campaign against Harry (OP11). ,Male,wizard,Unknown,Hogwarts - Gryffindor,Unknown
Aberforth Dumbledore,https://www.hp-lexicon.org/character/dumbledore-family/aberforth-dumbledore/,"Aberforth Dumbledore was a tall, thin, grumpy-looking old man with a great deal of long grey hair and a beard (OP16). Like his famous brother Albus, he wore glasses (HBP12) and had blue eyes (DH). Aberforth was the barkeep at the Hog’s Head in Hogsmeade (EBF) and was… ",Male,wizard,Half-blood,Hogwarts - Student,Barman
Abernathy,https://www.hp-lexicon.org/character/abernathy/,Abernathy was Tina Goldstein’s pompous boss in the wand permit office at MACUSA headquarters (WFT). ,Male,wizard,Unknown,Unknown,"MACUSA employee, then servant of Grindelwald"
Abraham Peasegood,https://www.hp-lexicon.org/character/abraham-peasegood/,"Abraham Peasegood was an American wizard who invented the game of Quodpot (QA8). Peasegood immigrated to North America in the 1700s, intending to form a Quidditch team when he got there. The story goes that the Quaffle he had packed in his luggage came into contact with… ",Male,wizard,Unknown,Unknown,Unknown
Abraham Potter,https://www.hp-lexicon.org/character/potter-family/abraham-potter/,Abraham Potter was one of MACUSA’s original twelve aurors (Pm). ,Male,wizard,Unknown,Unknown,Auror
Abraxas Malfoy,https://www.hp-lexicon.org/character/malfoy-family/abraxas-malfoy/,"Abraxas Malfoy was a wizard who was believed to be involved in a plot which led to the first Muggle-born Minister for Magic, Nobby Leach, leaving office owing to a mysterious illness (Pm). Abraxas died of Dragon Pox (HBP9). ",Male,wizard,Pure blood,Unknown,Unknown
Achilles Tolliver,https://www.hp-lexicon.org/character/achilles-tolliver/,Achilles Tolliver was an Auror whom Tina Goldstein dated after she read the (erroneous) magazine headline announcing that Newt was going to marry Leta Lestrange (CG). ,Male,wizard,Unknown,Unknown,Auror
Stewart Ackerley,https://www.hp-lexicon.org/character/stewart-ackerley/,Stewart Ackerley was a Ravenclaw student who started Hogwarts in 1994 (GF12). ,Male,wizard,Unknown,Hogwarts - Ravenclaw,Unknown
Adalbert Waffling,https://www.hp-lexicon.org/character/adalbert-waffling/,"Adalbert Waffling was a famous magical theoretician and the author of Magical Theory (PS5, FW). ",Male,wizard,Unknown,Unknown,Author
