,name,key,url,description,species_2nd,species_3rd,species,home_world,gender,height,eye_color,skin_color,hair_color,weight
0,1138  (First Order),1138_(First_Order),https://starwars.fandom.com/wiki/1138_(First_Order),"1138 was a human male stormtrooper who served in the military forces of the First Order decades after the Galactic Civil War. He and members of the FN Corps participated in the attack on Tuanul, a village located on the planet Jakku. After the attack, 1138 checked areas of the village with a fellow stormtrooper and ordered his colleague to fan out during their search, to which the second complied.
",,,Human,,Male,,,,,
1,1151,1151,https://starwars.fandom.com/wiki/1151,"1151 was a clone cadet who was a part of the Clone Youth Brigade during the Clone Wars.
",,,Human,Kamino,Male,,Brown,Tan,Black,
2,1174,1174,https://starwars.fandom.com/wiki/1174,"1174, nicknamed ""Whiplash,"" was a clone trooper cadet who served in the Clone Youth Brigade during the Clone Wars.
",,,Human,Kamino,Male,,Brown,Tan,Black,
3,224  (Coruscant Security Force),224_(Coruscant_Security_Force),https://starwars.fandom.com/wiki/224_(Coruscant_Security_Force),"224 was the designation of a human male officer of the Coruscant Security Force's underworld police. On Coruscant's Level 1313, 224 confronted a criminal, but both the criminal and 224 were grabbed by a sarlacc and pulled away.
",,,Human,,Male,,,Light,,
4,3-6,3-6,https://starwars.fandom.com/wiki/3-6,"3-6 was a male death trooper in DT-F16's squad who was tasked with protecting a large kyber crystal for transportation in a freighter from the Jedha system to the Tonnis sector, in order to rendezvous with Captain Slavin and his Imperial I-class Star Destroyer. The freighter was infiltrated by the rebels Saw Gerrera, Ezra Bridger, Sabine Wren, and Chopper, who sabotaged the crystal, as well as released several prisoners. The rebels soon escaped and the kyber crystal exploded, destroying the freighter and the Imperial I-class Star Destroyer, killing Slavin, 3-6 and the rest of the squad.
",,,Human,,Male,,,,,
5,3-9,3-9,https://starwars.fandom.com/wiki/3-9,"3-9 was a human male listener who served the Galactic Empire's Information Office under the command of the controller LT-319. He was stationed aboard an IGV-55 surveillance vessel. One of his colleagues was a female intelligence officer. 3-9 and his colleagues took part in an operation to hijack rebel droid Chopper and discover the location of Chopper Base. 3-9 and his colleagues perished when the rebel Hera Syndulla transmitted a data surge that overwhelmed their ship's systems, causing it to explode.
",,,Human,,Male,,Brown,Light,,
6,398,398,https://starwars.fandom.com/wiki/398,"398 was a human male stormtrooper who served in the First Order. He was one of the many troopers stationed on the Colossus refueling station, and accompanied Sergeant CS-812 to chase down CS-515, who Commander Pyre believed to have erratic programming. In reality, it was Resistance spy Kazuda Xiono wearing CS-515's armor after the trooper had been knocked unconscious. Xiono managed to escape and put the armor back onto CS-515, who was tracked down by 398 and taken away for reconditioning.
",,,Human,,Male,,,,,
7,7173,7173,https://starwars.fandom.com/wiki/7173,"7173 was the designation of a human male who served as a member of the Stormtrooper Corps of the Galactic Empire. In 14 BBY, 7173 was stationed on the planet Zeffo as part of a squad guarding an abandoned village and complained to another trooper about the low temperature.
",,,Human,,Male,,,,,
8,926,926,https://starwars.fandom.com/wiki/926,"926 was a human male stormtrooper who served the First Order during its war with the Resistance. During his time aboard the Mega-class Star Dreadnought Supremacy, 926 encountered Finn—an ex-stormtrooper who once served with 926 in Batch Eight. Unaware of Finn's desertion from the military, the trooper assumed that his former comrade had become an officer due to the latter's disguise. Believing that a fellow member of Batch Eight had risen to the officers' ranks, 926 congratulated Finn on his promotion.
",,,Human,,Male,,,,,
9,99,99,https://starwars.fandom.com/wiki/99,"99 was a human male clone of Jango Fett bred to be a clone trooper for the Grand Army of the Republic. He was malformed in the cloning process, however, and suffered numerous genetic and physical defects. As a result, he was deemed unfit for service in the army and assigned to be a maintenance duty clone, providing janitorial and maintenance work on his home planet of Kamino. During his time on Kamino, he grew attached to clone cadets as they trained to become troopers, viewing them all as brothers and individuals, rather than clone numbers. He befriended Domino Squad during their time training, and stopped Hevy, a member of Domino Squad, from abandoning them. He inspired Hevy and urged him to see himself as a team with his squad instead of as alone. This led to the squad passing, and Hevy gave 99 his medal in both thanks and as a reason to come back to visit him on Kamino.
",,,Human,Kamino,Male,1.68,Brown,Light,,
